Percentage served,Time in ms
0,1.061
1,1.230
2,1.320
3,1.394
4,1.467
5,1.532
6,1.596
7,1.623
8,1.641
9,1.674
10,1.753
11,1.840
12,1.865
13,1.885
14,1.901
15,1.920
16,1.944
17,1.958
18,1.969
19,1.985
20,1.994
21,2.007
22,2.020
23,2.033
24,2.048
25,2.055
26,2.070
27,2.093
28,2.105
29,2.120
30,2.127
31,2.154
32,2.169
33,2.195
34,2.212
35,2.231
36,2.257
37,2.269
38,2.284
39,2.307
40,2.327
41,2.371
42,2.392
43,2.408
44,2.427
45,2.449
46,2.493
47,2.722
48,2.764
49,2.810
50,3.523
51,3.716
52,3.813
53,3.885
54,4.131
55,4.216
56,4.278
57,4.389
58,4.496
59,4.832
60,5.029
61,5.061
62,5.089
63,5.104
64,5.115
65,5.123
66,5.126
67,5.130
68,5.135
69,5.142
70,5.152
71,5.158
72,5.171
73,5.179
74,5.187
75,5.192
76,5.200
77,5.214
78,5.222
79,5.228
80,5.235
81,5.241
82,5.250
83,5.257
84,5.262
85,5.269
86,5.277
87,5.285
88,5.299
89,5.340
90,21.363
91,23.304
92,23.323
93,23.350
94,23.422
95,23.510
96,23.585
97,23.698
98,23.750
99,23.870
100,27.124
